GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
37025009-00,10,3896,3010,2606,143,141,81,29,9,373.5,1682.0
37025010-00,10,8241,6250,4958,384,631,160,103,12,1134.1666666666667,3103.5
37025011-01,10,10555,7236,3451,1397,2129,205,124,21,2052.1666666666665,1761.6666666666667
37025011-02,10,4919,3717,2904,273,428,84,48,6,789.5,1725.3333333333333
37025012-03,10,3117,2490,1656,197,534,48,89,2,704.3333333333334,870.0
37025012-04,10,4685,3607,2246,427,842,90,42,5,954.1666666666666,896.8333333333334
37025012-05,10,3287,2719,2111,231,309,51,22,2,684.8333333333334,977.3333333333334
37025012-06,10,2398,1828,1074,235,460,43,22,2,642.5,640.8333333333334
37025012-08,10,3208,2373,1109,797,461,91,17,3,465.0,481.5
37025012-09,10,4314,3192,2068,346,663,86,82,2,768.0,1164.0
37025012-10,10,1768,1395,1082,89,162,43,27,0,385.8333333333333,476.3333333333333
37025012-11,10,2897,2288,1345,329,544,59,45,3,606.5,596.1666666666666
37025012-12,10,3547,2559,1581,356,516,73,67,5,629.3333333333334,861.6666666666666
37025012-13,10,8006,5783,1934,1452,2331,192,43,9,1912.5,634.3333333333334
3702700PR01,8,5363,4168,3504,172,370,108,15,5,698.0,1725.1666666666667
3702700PR02,8,2267,1871,1729,33,48,34,25,1,278.5,860.1666666666666
3702700PR07,8,2651,2238,2043,68,47,56,17,2,326.8333333333333,1170.0
3702700PR08,8,1621,1316,1177,16,62,50,5,2,207.16666666666666,662.1666666666666
3702700PR13,8,4212,3439,3192,80,30,90,38,3,366.6666666666667,1893.6666666666667
3702700PR14,8,4889,3912,3405,231,128,120,49,0,582.6666666666666,1642.5
3702700PR16,8,2589,1977,1367,183,392,24,16,4,568.8333333333334,524.3333333333334
3702700PR17,8,2648,2143,1811,128,136,57,23,2,434.8333333333333,878.8333333333334
3702700PR18,8,5227,4281,3903,102,141,75,58,5,957.3333333333334,2095.8333333333335
3702700PR21,8,4138,3359,3090,99,53,107,13,2,400.1666666666667,1748.5
3702700PR22,8,4807,3846,3483,145,100,124,10,3,437.1666666666667,1914.3333333333333
3702700PR24,8,2960,2367,2055,160,56,69,21,5,253.66666666666666,1101.0
